infa;infb;infc;infd;infe;inff;infg;infg;infi;infj;infk;infl;infm;infn;info;infp;infq;infr;infs;inft;infu;infv;infw;infx;infy;infz;data1;data2;data3;data4
20240130;102007362;CONSTRNEG;7;6;20221201;2;367.56;REG;;1567.24;554.78;0;0;33.7;0;0;21;367.56;0;1567.24;187.22;0;0;33.7;0;0;21;19000101;20221213
20240130;102007362;CONSTRNEG;7;7;20230102;2;577.3;REG;;1565.45;556.3;0;0;0;0;0;21;556.3;0;1565.45;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;8;20230201;2;508.59;REG;;1646.52;487.59;0;0;0;0;0;21;487.59;0;1646.52;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;9;20230301;2;442.82;REG;;1724.13;421.82;0;0;0;0;0;21;421.82;0;1724.13;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;10;20230401;2;450.29;REG;;1715.32;429.29;0;0;0;0;0;21;429.29;0;1715.32;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;11;20230501;2;399.51;REG;;1775.24;378.51;0;0;0;0;0;21;378.51;0;1775.24;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;12;20230601;2;372.91;REG;;1806.63;351.91;0;0;0;0;0;21;351.91;0;1806.63;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;13;20230701;2;322.69;REG;;1865.89;301.69;0;0;0;0;0;21;301.69;0;1865.89;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;14;20230801;2;291.49;REG;;1902.7;270.49;0;0;0;0;0;21;270.49;0;1902.7;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;15;20230901;2;249.31;REG;;1952.47;228.31;0;0;0;0;0;21;228.31;0;1952.47;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;16;20231001;2;199.99;REG;;2010.67;178.99;0;0;0;0;0;21;178.99;0;2010.67;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;17;20231101;2;161.45;REG;;2056.15;140.45;0;0;0;0;0;21;140.45;0;2056.15;0;0;0;0;0;0;0;19000101;20220928
20240130;102007362;CONSTRNEG;7;18;20231201;2;112.77;REG;;2113.59;91.77;0;0;0;0;0;21;91.77;0;2113.59;0;0;0;0;0;0;0;19000101;20220928
